149	http://www.stat-nba.com/coach/149.html	E	埃迪-乔丹	Eddie Jordan	1955-01-29 00:00:00	Washington, District of Columbia	Archbishop Carroll in Washington, District of Columbia	Rutgers University	9年 3支球队 4次进入季后赛	600场 257胜343负 胜率42.8%	26场 8胜18负 胜率30.8%	0次	0个	暂无信息
15	http://www.stat-nba.com/coach/15.html	E	埃尔金-贝勒	Elgin Baylor	1934-09-16 00:00:00	Washington, District of Columbia	Spingarn in Washington, District of Columbia	Seattle University	4年 1支球队 0次进入季后赛	221场 86胜135负 胜率38.9%	0场	0次	0个	暂无信息
150	http://www.stat-nba.com/coach/150.html	E	Ed Jucker	Ed Jucker		暂无信息	暂无信息	暂无信息	2年 1支球队 0次进入季后赛	164场 80胜84负 胜率48.8%	0场	0次	0个	暂无信息
151	http://www.stat-nba.com/coach/151.html	A	Alvin Julian	Alvin Julian	1901-04-05 00:00:00	暂无信息	暂无信息	暂无信息	1年 1支球队 0次进入季后赛	68场 22胜46负 胜率32.4%	0场	0次	0个	暂无信息
152	http://www.stat-nba.com/coach/152.html	G	乔治-卡尔	George Karl	1951-05-12 00:00:00	Penn Hills, Pennsylvania	Penn Hills in Penn Hills, Pennsylvania	University of North Carolina	27年 6支球队 22次进入季后赛	1999场 1175胜824负 胜率58.8%	185场 80胜105负 胜率43.2%	1次	0个	1次 (12-13赛季)
153	http://www.stat-nba.com/coach/153.html	B	鲍伯-考夫曼	Bob Kauffman	1946-07-13 00:00:00	Brooklyn, New York	Scarsdale in Scarsdale, New York	Guilford College	1年 1支球队 0次进入季后赛	58场 29胜29负 胜率50.0%	0场	0次	0个	暂无信息
154	http://www.stat-nba.com/coach/154.html	R	Red Kerr	Red Kerr	1932-07-17 00:00:00	Chicago, Illinois	Tilden in Chicago, Illinois	University of Illinois at Urbana-Champaign	4年 2支球队 2次进入季后赛	283场 93胜190负 胜率32.9%	8场 1胜7负 胜率12.5%	0次	0个	1次 (66-67赛季)
155	http://www.stat-nba.com/coach/155.html	J	杰森-基德	Jason Kidd	1973-03-23 00:00:00	San Francisco, California	Saint Joseph of Notre Dame in Alameda, California	University of California	5年 2支球队 3次进入季后赛	373场 183胜190负 胜率49.1%	24场 9胜15负 胜率37.5%	0次	0个	暂无信息
156	http://www.stat-nba.com/coach/156.html	B	Bob Kloppenburg	Bob Kloppenburg		暂无信息	暂无信息	暂无信息	2年 2支球队 0次进入季后赛	7场 2胜5负 胜率28.6%	0场	0次	0个	暂无信息
157	http://www.stat-nba.com/coach/157.html	L	Lon Kruger	Lon Kruger		暂无信息	暂无信息	暂无信息	3年 1支球队 0次进入季后赛	191场 69胜122负 胜率36.1%	0场	0次	0个	暂无信息
